Professor,Average Rating,Number of Courses
"Minichiello, Stephen",5,2
"Welu, James",5,2
"Crowe, Patrick",5,3
"Burton, Scott",5,2
"Moncrief, Kathryn",5,2
"Burdi, Luciana",5,2
"Blackman, Kyle",5,12
"Evans, Nicholas",5,8
"Mirheydar, Mahmood",5,2
"Devarakonda, Lalitha",5,2
"Monaco, James",5,2
"Nafziger, John",5,2
"Dehner, Corey",5,2
"Regele, Thomas",5,2
"Chillarege, Ram",5,2
"Irwin, Joseph",5,4
"Sutton, Alan",5,2
"Skiles, Jack",4.99765625,12
"Adams, David",4.95,3
"Aguilar, Joseph",4.9375,5
"Rohde, Joshua",4.9359375,8
"Rosenstock, Joshua",4.9,6
"Madan, Aarti",4.9,2
"Zeng, Xiangrui",4.9,3
"Paffenroth, Randy",4.8875,5
"Fichera, Loris",4.875,5
"Rodriguez, Angela",4.85,3
"Doiron, Joseph",4.85,3
"Davis, Lindsay",4.84375,9
"Buckholt, Michael",4.84375,6
"Colvin, Kelly",4.81875,6
"Gutierrez, Edward",4.8125,8
"Pinciroli, Carlo",4.8125,5
"Hoel, Julia",4.8,2
"Dudle, Jeanine",4.8,3
"Flegal, Matthew",4.8,2
"Moore, Whitney",4.8,2
"Enayati, Babak",4.8,2
"Wilson, Elizabeth",4.8,3
"Toro, Jorge",4.8,2
"Kelleher, Curran",4.8,2
"Wheeler, Robert",4.8,2
"Zizza, Keith",4.8,4
"Titova, Lyubov",4.8,3
"McIntyre, Katharine",4.7875,5
"French, Brent",4.7875,5
"Du, Wen-Hua",4.775,5
"Srinivasan, Jagan",4.775,4
"Zheng, Huili",4.76875,7
"Clark, Constance",4.76875,7
"Navabi, Zainalabedin",4.7625,5
"Cullon, Joseph",4.7515625,9
"Burrier, Grant",4.75,3
"Boucher, Esther",4.75,5
"Rivera, Angel",4.75,3
"Monat, Jamie",4.75,5
"Young, Eric",4.75,4
"Smith, Alexander",4.75,3
"Aravind, Padmanabhan",4.75,4
"Bafaro, Elizabeth",4.7375,7
"Labenski, Caroline",4.7375,5
"Roberts, Louis",4.73125,6
"Moody, Rebecca",4.7203125,8
"Galante, John",4.71875,6
"Kmiotek, Stephen",4.71875,6
"Li, Yanhua",4.71875,6
"Chery, Farley",4.712890625,10
"Bianchi, Frederick",4.7125,5
"Shell, Scarlet",4.7125,5
"Sarnie, Robert",4.7125,5
"Bigonah, Roshanak",4.709375,8
"LePage, Suzanne",4.70625,6
"Blandino, John",4.7,3
"Albano, Leonard",4.7,3
"Calandra, Sam",4.7,2
"Aboulezz, Mohamed",4.7,2
"Duckworth, R. James",4.7,2
"Gericke, Arne",4.7,3
"Shue, Craig",4.7,2
"Nemitz, Markus",4.7,2
"Shaw, Stacy",4.7,2
"Bedrosian, Martha",4.7,2
"Vaudreuil, Alan",4.7,3
"Eltabakh, Mohamed",4.7,4
"Schachterle, Lance",4.69375,7
"Abraham, Jon",4.6921875,8
"Stabile, Joseph",4.6875,6
"Keller, Marie",4.68125,6
"Brattin, Joel",4.68125,6
"Danielski, Althea",4.6796875,9
"El Hamzaoui, Mohammed",4.675,4
"Heineman, George",4.675,4
"Elbthal, Arthur",4.675,4
"Manzo, V",4.6734375,8
"Gonzalez, Adryen",4.662890625,10
"Telliel, Yunus",4.6625,5
"Hanlan, James",4.65625,6
"Sutter, Ralph",4.653125,9
"Steiner, Benjamin",4.65,3
"Madan, Ryan",4.65,5
"Rosewitz, Jessica",4.65,3
"Grimm, Ronald",4.65,3
"Bursten, Bruce",4.65,4
"Deskins, N",4.65,3
"Gelosh, Donald",4.65,3
"Bunyea, Leo",4.65,4
"Matos-Nin, Ingrid",4.65,5
"Ambady, Sakthikumar",4.65,5
"Coburn, Jeannine",4.6375,5
"Rudolph, Jennifer",4.625,5
"Blumhofer, Jonathan",4.625,4
"Servatius, Brigitte",4.625,4
"Moriarty, Brian",4.625,4
"Sisson, Richard",4.6125,5
"Towner, Walter",4.6109375,8
"Halpine, Margarita",4.60625,6
"Weeks, Douglas",4.6,3
"Grant, Denise",4.6,2
"Weathers, Pamela",4.6,3
"Cornwell, Kevin",4.6,2
"Ayobami, Olufunmilayo",4.6,4
"Stander, Jennifer",4.6,3
"Sorensen, Dean",4.6,2
"McKenna, James",4.6,2
"Chagnon, Christopher",4.6,2
"Timko, Michael",4.6,3
"Starr, Thomas",4.6,3
"Wilcox, Jennifer",4.6,2
"Elgert, Laureen",4.6,2
"Gales, John",4.6,2
"Zhu, Joe",4.59375,6
"Vidali, Luis",4.575,5
"Arnold, Andrea",4.575,4
"Blais, Marcel",4.56875,6
"Ibbett, David",4.5625,5
"Zhong, Yu",4.5578125,8
"DiMassa, Daniel",4.55,3
"Shazeeb, Mohammed Salman",4.55,4
"Schaumont, Patrick",4.55,3
"Lingo, Elizabeth",4.55,3
"Konrad, Renata",4.55,5
"Smith, Gillian",4.55,3
"Ephraim, Michelle",4.5375,5
"Kong, Xiangnan",4.5375,6
"Whitehill, Jacob",4.525,5
"Rassias, Dina",4.525,5
"Cote, Danielle",4.525,4
"Roberts, Laura",4.525,4
"Claypool, Mark",4.525,4
"Kafle, Rudra",4.525,4
"Noviello, Thomas",4.525,5
"Samson, M.",4.521875,7
"Pajic, Slobodan",4.51875,6
"Harrison, Lane",4.5125,5
"McWeeny, Jennifer",4.50625,7
"Nakajima, Chieko",4.5,2
"Robinson, Matthew",4.5,2
"Ryder, Elizabeth",4.5,5
"Manning, Amity",4.5,5
"Farny, Natalie",4.5,3
"Salifu, Ali",4.5,3
"McNeill, John",4.5,2
"Hoy, Francis",4.5,4
"Hebert-Maccaro, Karen",4.5,2
"Scarlata, Suzanne",4.5,3
"Lewin, Gregory",4.5,5
"Calli, Berk",4.5,3
"McCauley, Stephen",4.5,2
"Gaudette, Glenn",4.5,2
"Liu, Yuxiang",4.5,3
"Krueger, Robert",4.5,2
"Vaz, Richard",4.5,2
"Shivkumar, Satya",4.479924011,18
"Johnson, Sharon",4.475,4
"Kazantzis, Nikolaos",4.475,4
"Harmon, Joshua",4.4734375,8
"Lutch, Mitchell",4.465625,7
"Bullock, Steven",4.4625,6
"Wodin-Schwartz, Sarah Jane",4.4625,5
"Riddick, Sarah",4.45625,6
"Ngan, Chun-Kit",4.45625,6
"Pavlov, Oleg",4.45625,6
"Reinhardt, Jo Ellen",4.45,3
"Sakulich, Aaron",4.45,4
"Dominko, Tanja",4.45,3
"Lammert, Adam",4.45,3
"Brodeur, Drew",4.45,5
"Reichman, Daniel",4.45,3
"Keane, Patrick",4.45,3
"DeCarli, Lorenzo",4.45,3
"Lewis, Kevin",4.44375,8
"Gottlieb, Roger",4.4375,5
"Kumar, Uma",4.4375,5
"Putnam, Craig",4.4375,8
"Whitefleet-Smith, JoAnn",4.427246094,12
"Brisson, Ulrike",4.425,4
"Spanagel, David",4.425,6
"Mardilovich, Ivan",4.425,5
"Engling, Michael",4.425,4
"Fischer, Gregory",4.425,4
"Reidinger, Amanda",4.4125,5
"Weinstock, Jonathan",4.4125,6
"Giapoudzi, Despoina",4.4,2
"McNally, Catherine",4.4,2
"Hatch Moysey, Monica",4.4,6
"Farzin, Soroush",4.4,2
"Fridkis-Hareli, Masha",4.4,2
"Wu, Min",4.4,4
"Albrecht, Dirk",4.4,3
"Troy, Karen",4.4,3
"Clark, Andrew",4.4,4
"Noetscher, Gregory",4.4,2
"Lombardi, Robert",4.4,3
"Gosselin, Craig",4.4,2
"Sarkis, Joseph",4.4,2
"Doremus, Scott",4.4,3
"Machado, Mario",4.4,2
"Stanlick, Sarah",4.4,3
"Carlson, Jennifer",4.4,2
"Wojcicki, David",4.4,2
"Petkie, Douglas",4.4,3
"Wetters, Brent",4.4,4
"Bitar, Stephen",4.3875,5
"Boudreau, Kristin",4.375,5
"Goulet, John",4.375,4
"Guceri, Selcuk",4.375,5
"Makarov, Sergey",4.3625,5
"Emdad, Fatemeh",4.35625,8
"Lessing, Shana",4.35,7
"Olsen, Douglas",4.35,5
"MacDonald, John",4.35,5
"Heilman, Destin",4.35,3
"Wong, Wilson",4.35,4
"Johnson, Michael",4.35,4
"Rundensteiner, Elke",4.35,3
"Vedogbeton, Hermine",4.35,3
"Gnanaskandan, Aswin",4.35,3
"Urban, James",4.35,3
"O'Donnell, Dean",4.35,3
"Traver, Robert",4.346875,7
"Abu-Lail, Laila",4.34375,6
"Gatsonis, Nikolaos",4.325,4
"Rao, Reeta",4.325,5
"Doyle, James",4.325,4
"Yagoobi, Jamal",4.325,4
"Nasralah, Hussein",4.325,4
"Cowlagi, Raghvendra",4.3,3
"Pins, George",4.3,3
"Ferguson, Douglas",4.3,2
"Sunar, Berk",4.3,3
"Zhang, Ziming",4.3,4
"Ferguson, Martin",4.3,2
"Elmes, Michael",4.3,2
"Delvy, Paul",4.3,3
"Olsen, Carissa",4.3,3
"Heffernan, Neil",4.3,2
"Lee, Kyumin",4.3,5
"Stoddard, Elisabeth",4.3,4
"Solomon, Robert",4.3,2
"Tuler, Seth",4.3,2
"McDonald, Heidi",4.3,3
"Cotnoir, Paul",4.3,3
"Wright, Duncan",4.2875,5
"Barton, Scott",4.275,7
"Tulu, Bengisu",4.275,5
"Vandal, Steven",4.275,4
"Pfeifer, Geoffrey",4.26875,6
"Clancy, Edward",4.2625,5
"Fehribach, Joseph",4.2625,5
"Mangoubi, Oren Rami",4.2625,5
"Peiris, Thelge",4.2515625,8
"Nechipurenko, Inna",4.25,4
"Whittington, Catherine",4.25,3
"Neamtu, Rodica",4.25,4
"Sarkozy, Gabor",4.25,5
"Guo, Tian",4.25,3
"Bernardi, Francesca",4.25,4
"Ramos OlivÃ?, Xavier",4.25,3
"Song, Qingshuo",4.25,3
"Savilonis, Brian",4.25,3
"Medich, David",4.25,4
"Wang, Yan",4.25,4
"Heppe, Adam",4.25,5
"Sutherland, Emily",4.25,4
"Mathews, Lauren",4.225,4
"Lindholm, John",4.225,4
"Gonsalves, Edward",4.225,5
"Saberi, Sara",4.225,4
"Somasse, Gbetonmasse",4.225,5
"Zheng, Yihao",4.225,5
"Puchovsky, Milosh",4.225,5
"Posterro, Barry",4.221875,7
"Mishra, Brajendra",4.21875,6
"Page, Raymond",4.2125,5
"Sabuncu, Ahmet",4.209375,7
"Hansen, Peter",4.2,2
"Bergendahl, John",4.2,2
"Billiar, Kristen",4.2,2
"Ganji, Fatemeh",4.2,2
"Ahern, Michael",4.2,2
"Ching, Kenny",4.2,2
"Trapp, Andrew",4.2,3
"BerceliBoyle, Tina",4.2,2
"Wills, Craig",4.2,2
"Al-Kateb, Mohammed",4.2,2
"Wang, Gu",4.2,2
"Freije, Richard",4.2,2
"Shockey, Ingrid",4.2,3
"Davis, Curt J.",4.2,3
"Miller, Fabienne",4.2,3
"Walls, Robert",4.2,3
"Walcott, Samuel",4.2,3
"Larsen, Christopher",4.2,4
"Agheli Hajiabadi, Mohammad Mahdi",4.2,7
"Brown, Crystal",4.2,4
"Dingari, Narahara Chari",4.1875,5
"Volkov, Darko",4.1875,5
"Alvarez-Romero, Sergio",4.175,4
"Sales, Adam",4.175,4
"Rangwala, Ali",4.175,4
"Mughal, Maqsood",4.1625,5
"Beck, Joseph",4.1625,6
"Radhakrishnan, Pradeep",4.1609375,8
"Buono, Paul",4.15,3
"Cocola, James",4.15,3
"Taillefer, Zachary",4.15,3
"Olinger, David",4.15,3
"Hall-Phillips, Adrienne",4.15,4
"Olson, Sarah",4.15,3
"Ramos OlivÈ, Xavier",4.15,3
"Wen, Qi",4.15,4
"San Martin, William",4.15,5
"Farzinmoghadam, Mohamad",4.125,4
"Ludwig, Reinhold",4.125,4
"Gannon, Thomas",4.125,5
"DiBiasio, David",4.125,5
"Ghorbani Faal, Siamak",4.125,4
"Rosbach, Derren",4.1125,5
"Richman, Mark",4.10625,6
"Yuan, Zhangxian",4.1,2
"Walker, Harold",4.1,3
"Rahbar, Nima",4.1,3
"O'Rourke, Brian",4.1,2
"Huang, Xinming",4.1,4
"Shah, Purvi",4.1,3
"Mattson, Anita",4.1,2
"Musacchio, Patricia",4.1,2
"Datta, Ravindra",4.1,2
"Pollice, Gary",4.1,2
"Skorinko, Jeanine",4.1,2
"Levey, Fiona",4.1,5
"Brown, Christopher",4.088891602,16
"Kashuri, Hektor",4.0875,5
"Davis, Jason",4.075,4
"Droessler, Holger",4.0625,5
"Obayemi, John",4.05,3
"Pahlavan, Kaveh",4.05,4
"Reshadi, Farnoush",4.05,3
"Yarnie, Shelly",4.05,3
"Piccirillo, Christopher",4.05,3
"Wu, Kun-Ta",4.05,3
"Ryan, James",4.046875,7
"Kadam, Snehalata",4.0375,6
"Kirby, Paul",4.025,5
"Kaminski, George",4.025,4
"Mavor, David",4.0125,5
"Daniello, Robert",4.0125,6
"Warren, Maria",4,2
"Mallick, Rajib",4,3
"Robinson, Clyde",4,2
"Bates, Wayne",4,2
"Duffy, Joseph",4,3
"Doroz, Yarkin",4,3
"Chase, Micah",4,2
"Allen, Samuel",4,2
"Dougherty, Daniel",4,3
"Lados, Diana",4,2
"Li, Boquan",4,4
"Panchapakesan, Balaji",4,3
"Hurley, Morgan",4,2
"Rosenbaum, Eric",4,2
"Wilson, E.",3.99375,7
"Ruiz, Carolina",3.975,4
"Lambert, Christopher",3.9625,5
"Onal, Cagdas",3.9625,6
"Bakermans, Marja",3.95625,6
"Mus, Koksal",3.95625,6
"Mensah, Solomon",3.95,4
"Hamel, Jean-Francois",3.95,3
"Contador Revetria, Gonzalo Andres",3.95,4
"Bertozzi, Nicholas",3.95,5
"Golding, Dominic",3.95,3
"Zurawsky, Walter",3.9375,5
"deWinter, Jennifer",3.925,4
"Sullivan, John",3.925,5
"Uzunovic, Edvina",3.925,4
"Wu, Zheyang",3.925,5
"Balistrieri, Thomas",3.925,4
"Faber, Brenton",3.9,3
"Karanjgaokar, Nikhil",3.9,3
"Liu, Shichao",3.9,3
"Eggleston, Carrick",3.9,3
"Bhada, Shamsnaz",3.9,2
"Forte, William",3.9,2
"Dixon, Anthony",3.9,3
"Teixeira, Andrew",3.9,3
"Bouchard, Jane",3.9,2
"Tang, Dalin",3.9,4
"Kelley, Abigail",3.9,2
"Sphar, Jefferson",3.9,3
"Mitra, Deeya",3.9,2
"Trubko, Raisa",3.9,4
"Popovic, Marko",3.8953125,8
"Kordzadeh, Nima",3.89375,6
"Wei, Chaozhen",3.8875,5
"Dempski, Robert",3.875,4
"Liang, Jianyu",3.8625,5
"Cuneo, Joshua",3.85625,6
"Sanbonmatsu, John",3.85,6
"Yu, Tiffany",3.85,3
"Fu, Jie",3.85,3
"Amissah, Matthew",3.85,5
"Peng, Guanying",3.85,4
"Rulfs, Jill",3.83125,6
"Li, Zhi",3.825,4
"Kurlanska, Courtney",3.825,4
"Narra, Sneha",3.81875,6
"Rolle, Marsha",3.8,3
"O'Rourke, James",3.8,3
"Miller, David",3.8,3
"Pu, Hansong",3.8,2
"Sweeney, Kevin",3.8,2
"Agu, Emmanuel",3.8,2
"Johnson, Joseph",3.8,2
"Yakovlev, Vadim",3.8,4
"Sturm, Stephan",3.8,2
"Xiao, Jing",3.8,2
"Hammoud, Riad",3.8,2
"Zekavat, Seyed",3.8,4
"Dittami, James",3.7875,6
"Sanguinet, William",3.7875,7
"Butler, Tiffiny",3.775,5
"Zhou, Hong",3.775,4
"Stewart, Elizabeth",3.775,4
"Doytchinova, Tatiana",3.775,5
"Stimmel, Carol L.",3.775,5
"Stroe, Izabela",3.775,5
"Solovey, Erin",3.7625,5
"Jayachandran, Jagannath",3.75,3
"El-Korchi, Tahar",3.75,3
"Gram, Richard",3.75,4
"Foo, Katherine",3.75,4
"Worthington, Shari",3.7375,5
"Nikitina, Svetlana",3.73125,7
"Van Dessel, Steven",3.7,3
"Fallahi, Ali",3.7,3
"Dykes, Katherine",3.7,2
"Roberts, Charles",3.7,3
"Wang, Fangfang",3.7,2
"Bah, Souleymane",3.7,2
"Simeoni, Albert",3.7,2
"Wijerathna, Sanath",3.6875,6
"Prince, Gregary",3.675,4
"Djamasbi, Soussan",3.6625,5
"Bhatia, Mehul",3.6625,5
"Ji, Songbai",3.65,4
"Nelson, Blake",3.65,3
"Stults, Erica",3.65,3
"Iannacchione, Germano",3.65,5
"Eddy, Bethel",3.625,6
"Mathisen, Paul",3.6,3
"Mahoney, Sean",3.6,2
"Servatius, Herman",3.6,5
"Zou, Jian",3.6,2
"Powell, Adam",3.6,4
"Belz, Melissa",3.6,2
"Bergstrom, Torbjorn",3.6,5
"Sinha, Neeharika",3.6,3
"Bosinger, Mia",3.55,3
"Roberts, Susan",3.55,3
"Mosco, Umberto",3.55,3
"Lui, Roger",3.55,3
"Dembsey, Nicholas",3.55,3
"Makhlouf, Makhlouf",3.5375,5
"Faheem, Faheem",3.5,3
"Stanley, Richard",3.5,2
"Hata, Nobuhiko",3.5,3
"Korkin, Dmitry",3.475,4
"Wyglinski, Alexander",3.45,3
"Sarkis-Martins, Marcus",3.45,3
"Burnham, Nancy",3.45,3
"Guler, Ulkuhan",3.4,3
"Pray, Keith",3.4,4
"Zhang, Zhongqiang",3.4,2
"Chiarelli, James",3.4,3
"Hersh, Robert",3.35,3
"Zozulya, Alex",3.35,3
"Scarpino, Christopher",3.3125,5
"Gholipour-Baboli, Ali",3.3,2
"Humi, Mayer",3.3,4
"Gennert, Michael",3.3,4
"Laungani, Amanda",3.3,2
"Zeugner, John",3.3,2
"Tao, Mingjiang",3.25,3
"Notarianni, Kathy",3.25,4
"Marrone, Paul",3.2,2
"Oates, Karen",3.2,3
"Hofri, Micha",3.2,2
"Nandram, Balgobin",3.2,2
"Quimby, Richard",3.2,3
"Arguello, Jose'",3.15,3
"Yousefi, Ali",3.15,3
"Morato, Carlos",3.15,3
"Floru, Fred",3.1,2
"Sinha, Anirban",3.1,2
"Sagna, Mahamadou",3.1,2
"Strong, Diane",3,2
"Radzicki, Michael",2.9625,5
"Michalson, William",2.9,4
"Burdette, Shawn",2.9,3
"Butler, Melissa",2.9,2
"Mayer, Jeffrey",2.8,2
"Strauss, Sarah",2.8,2
"Cobb, Eben",2.8,2
"Swarz, Robert",2.75,4
"Hou, Zhikun",2.7125,7
"Smith, Therese",2.475,4
"Demetriou, Michael",2.4,2
"Kamara, Jermoh",2.3875,5
"Lurie, Konstantin",2.3,2
"Dimentberg, Mikhail",2.1,3
"Furlong-Vazquez, Cosme",1.9,2